BUGULA STAGE,BUGULA RUN,BUGULA LOG10MASS,BUGULA LOG10MR,WATERSIPORA STAGE,WATERSIPORA RUN,WATERSIPORA LOG10MASS,WATERSIPORA LOG10MR
EARLY,1,1.233933545,-0.870957805,LARVAE,8,1.260499737,-0.50620466
EARLY,1,1.089436169,-0.880260765,LARVAE,9,1.323323956,-0.334527244
EARLY,1,1.187369554,-0.684704699,LARVAE,9,1.25700902,-0.309449608
EARLY,1,1.171892536,-0.686626687,LARVAE,9,1.177783326,-0.323228361
EARLY,1,1.034115164,-0.735364373,LARVAE,9,1.190521083,-0.297499601
EARLY,1,1.018235934,-0.580245697,LARVAE,9,1.202753082,-0.288314784
EARLY,1,1.035876067,-1.094443825,LARVAE,9,1.276659123,-0.377451262
EARLY,2,1.105663784,-0.71001703,LARVAE,9,1.159817778,-0.358680623
EARLY,2,1.097911551,-0.772463421,LARVAE,9,1.253884164,-0.320286431
EARLY,2,0.972828913,-0.688398908,LARVAE,9,1.169780608,-0.334045047
EARLY,2,1.0927458,-0.849657903,LARVAE,9,1.359434149,-0.220755086
EARLY,2,1.064901426,-0.906194677,LARVAE,9,1.377365883,-0.080204352
EARLY,2,1.133548749,-0.907332667,LARVAE,9,1.148663596,-0.393070873
EARLY,2,1.095440841,-0.680384357,LARVAE,9,1.207642952,-0.3730049
EARLY,2,1.175669633,-0.366056699,LARVAE,9,1.192291236,-0.211817161
EARLY,2,1.150572058,-0.800879471,LARVAE,9,1.279462005,-0.205390877
EARLY,2,1.094030297,-0.911679079,LARVAE,9,1.200448048,-0.282048135
EARLY,2,1.16836637,-0.837802115,LARVAE,9,1.248156338,-0.184110655
EARLY,2,1.064700545,-0.902468859,LARVAE,9,1.265823934,-0.320577156
EARLY,2,1.14287327,-0.813010718,LARVAE,9,1.34611666,-0.126504421
EARLY,3,1.25466667,-0.64632895,LARVAE,9,1.347271469,-0.203226724
EARLY,3,1.239766403,-0.927558706,EARLY,1,1.263985497,-0.435102722
EARLY,3,1.201082004,-0.540429389,EARLY,1,1.201072289,-0.637084065
EARLY,3,1.256268056,-0.814252965,EARLY,1,1.146887598,-0.742771523
EARLY,3,1.333507748,-0.725113222,EARLY,1,1.22762781,-0.479452334
EARLY,3,1.093546051,-0.798111153,EARLY,1,1.256883841,-0.381803246
EARLY,3,1.14291397,-0.932704084,EARLY,1,1.331208989,-0.325092155
EARLY,3,1.062045814,-0.766504413,EARLY,1,1.251640931,-0.964589623
EARLY,3,1.367165051,-0.779735683,EARLY,1,1.263699904,-0.741079424
