Species,Run,Stage,Mass,Metabolic
bugula,2,late,0.12255214612763608,0.4148701219454874
bugula,2,late,0.14527734187266222,0.14167151788164895
bugula,2,late,0.12517890290986705,0.4126149068453204
bugula,2,late,0.15381166804884522,0.31170761916507855
bugula,3,early,17.974907741956123,0.22577250416255962
bugula,3,early,17.368663570431337,0.11815205890418401
bugula,3,early,15.888467282023502,0.28811814567535526
bugula,3,early,18.041309461362133,0.15337233694475202
bugula,3,early,21.553000947021246,0.18831580799827752
bugula,3,early,12.403551408730651,0.15918012705025913
bugula,3,early,13.896773208260969,0.11676049191128479
bugula,3,early,11.535749427541127,0.17119677807825437
bugula,3,early,23.2897620286257,0.1660597260007149
bugula,3,early,12.625151491476162,0.10380770698731089
bugula,3,early,17.760269801976857,0.1438188990975347
bugula,3,early,19.07968784011878,0.1836486829002078
